depid,depname,aislenum,pid,eid
368,Dairy,2,59,170
369,Vegetables,4,135,73
370,Frozen,20,133,65
371,Vegetables,15,391,61
372,Dairy,7,24,244
373,Dairy,15,171,22
374,Meat,12,353,121
375,Beverages,15,272,221
376,Bakery,13,267,84
377,Bakery,10,199,179
378,Dairy,6,361,282
379,Vegetables,10,29,392
380,Beverages,12,287,397
381,Beverages,1,156,47
382,Grocery,8,90,137
383,Beverages,3,278,344
384,Beverages,15,224,151
385,Beverages,1,264,391
386,Meat,20,181,214
387,Grocery,13,200,139
388,Meat,19,43,259
389,Dairy,17,179,295
390,Dairy,9,12,319
391,Bakery,5,32,379
392,Bakery,17,211,380
393,Frozen,10,256,118
394,Grocery,5,391,135
395,Bakery,14,128,170
396,Meat,1,329,150
397,Vegetables,4,115,215
398,Bakery,16,38,258
399,Dairy,17,186,37
400,Dairy,17,249,118
