pid,pname,stock,price,validity
167,Soy Sauce,376,97.43,01/09/2025
168,Salmon,37,65.83,05/01/2026
169,Milk,125,41.36,11/03/2026
170,Yogurt,222,92.53,15/12/2025
171,Water,468,28.19,12/07/2025
172,Bell Pepper,186,18.72,13/09/2025
173,Eggs,462,28.32,11/11/2025
174,Shrimp,266,54.29,31/12/2025
175,Salmon,401,65.63,23/07/2025
176,Pizza,469,88.13,04/01/2026
177,Chips,174,36.43,10/08/2025
178,Duck,29,82.53,12/09/2025
179,Pineapple,367,66.51,18/02/2026
180,Walnuts,100,86.05,07/08/2025
181,Mango,44,97.68,04/11/2025
182,Carrot,69,73.55,17/11/2025
183,Mustard,346,82.81,22/04/2025
184,Soy Sauce,272,41.74,12/02/2026
185,Jam,443,26.53,19/11/2025
186,Butter,426,76.11,04/12/2025
187,Spaghetti Sauce,396,50.52,18/03/2026
188,Salt,487,40.4,22/10/2025
189,Carrot,304,33.03,22/02/2026
190,Chocolate,176,23.7,03/03/2026
191,Tofu,11,79.23,30/12/2025
192,Mushrooms,476,35.04,20/08/2025
193,Tea,245,15.22,01/07/2025
194,Strawberry,347,35.49,08/10/2025
195,Peanut Butter,201,54.95,28/05/2025
196,Chicken Wings,98,80.93,22/01/2026
197,Pineapple,213,99.56,17/10/2025
198,Papaya,366,42.49,23/06/2025
199,Salt,348,42.33,31/08/2025
200,Ginger,70,64.29,13/06/2025
201,Milk,343,23.16,19/06/2025
202,Lamb,70,46.05,10/05/2025
203,Cucumber,322,22.9,12/03/2026
204,Chicken Wings,181,80.87,14/08/2025
205,Blueberry,226,93.1,01/06/2025
206,Jam,19,85.53,09/07/2025
207,Peanuts,351,21.5,23/03/2026
208,Almonds,379,11.34,13/06/2025
209,Radish,245,41.24,29/01/2026
210,Chicken,150,84.46,24/08/2025
211,Popcorn,315,77.27,06/02/2026
212,Oil,446,37.7,26/04/2025
213,Lime,278,66.25,27/10/2025
214,Zucchini,255,93.1,22/02/2026
215,Strawberry,331,79.05,10/01/2026
216,Water,429,43.78,23/02/2026
217,Juice,190,73.86,27/04/2025
218,Fish,223,90.14,22/07/2025
219,Coconut,482,97.38,22/05/2025
220,Carrot,459,65.3,30/06/2025
221,Lemon,298,58.81,17/02/2026
222,Soy Sauce,132,22.88,07/08/2025
223,Butter,289,30.67,21/11/2025
224,Tea,290,21.74,07/09/2025
225,Yogurt,252,81.35,13/05/2025
226,Beef,299,83.05,13/10/2025
227,Mustard,41,77.27,15/06/2025
228,Milk,410,57.38,23/06/2025
229,Salmon,257,58.52,11/02/2026
230,Papaya,249,17.16,24/08/2025
231,Blueberry,486,50.66,04/01/2026
232,Olives,98,84.51,29/06/2025
233,Pear,470,26.11,12/11/2025
234,Onions,291,76.32,25/06/2025
235,Cereal,490,91.92,26/02/2026
236,Peach,278,59.41,12/07/2025
237,Butter,39,61.85,07/01/2026
238,Soy Sauce,258,89.28,20/02/2026
239,Salmon,465,63.87,16/02/2026
240,Walnuts,49,12.31,26/04/2025
241,Spaghetti Sauce,466,63.9,11/03/2026
242,Turkey,212,55.63,17/06/2025
243,Honey,253,50.1,03/08/2025
244,Mushrooms,249,17.33,09/12/2025
245,Cranberries,309,10.22,28/09/2025
246,Banana,409,24.44,08/12/2025
247,Potato,41,28.63,17/07/2025
248,Soy Sauce,320,76.44,13/08/2025
249,Apple,255,38.99,10/10/2025
250,Cranberries,352,80,11/09/2025
251,Grapes,207,26.76,18/06/2025
252,Soy Sauce,298,56.31,06/01/2026
253,Cranberries,353,53.28,17/08/2025
254,Mustard,299,66.68,24/01/2026
255,Beef,38,47.6,26/09/2025
256,Lime,52,91.04,19/11/2025
257,Ice Cream,199,23.46,24/09/2025
258,Orange,225,11.41,26/02/2026
259,Butter,251,10.12,20/02/2026
260,Mushrooms,46,83.9,06/09/2025
261,Pizza,252,87.74,18/09/2025
262,Coconut,110,78.1,06/06/2025
263,Fish,396,33.62,28/07/2025
264,Pear,463,44.65,04/09/2025
265,Lamb,281,32.76,23/12/2025
266,Ginger,164,40.74,22/11/2025
267,Fish,308,41.3,09/09/2025
268,Lamb,65,35.39,27/05/2025
269,Honey,300,40.79,30/01/2026
270,Pizza,468,32.16,26/12/2025
271,Bell Pepper,287,70.83,29/06/2025
272,Spaghetti Sauce,461,69.52,08/03/2026
273,Flour,448,56.1,28/12/2025
274,Avocado,404,17.6,25/10/2025
275,Radish,495,83.74,16/02/2026
276,Water,390,37.7,02/02/2026
277,Avocado,43,85.6,07/09/2025
278,Tofu,180,36.94,22/12/2025
279,Soda,24,44.67,11/02/2026
280,Peanuts,60,63.88,01/03/2026
281,Peach,20,25.48,26/10/2025
282,Jam,327,30.2,28/04/2025
283,Olives,102,28.94,24/11/2025
284,Eggs,378,90.06,08/12/2025
285,Carrot,401,42.25,20/02/2026
286,Tofu,28,67.37,11/06/2025
287,Pasta,382,81.47,02/11/2025
288,Celery,218,92.75,18/08/2025
289,Flour,77,50.81,29/01/2026
290,Celery,272,82.92,29/08/2025
291,Sugar,52,14.83,14/08/2025
292,Radish,189,95.54,08/12/2025
293,Apple,402,93.52,09/02/2026
294,Oil,123,18.69,06/11/2025
295,Duck,74,60.41,13/01/2026
296,Shrimp,94,47.43,17/06/2025
297,Banana,130,77.48,15/01/2026
298,Lime,156,26.4,17/11/2025
299,Potato,378,64.57,11/07/2025
300,Pineapple,363,57.82,04/03/2026
301,Eggs,397,73.31,25/01/2026
302,Beef,256,44.03,19/11/2025
303,Tomato,259,34.92,13/11/2025
304,Lamb,420,68.93,22/06/2025
305,Carrot,190,31.92,02/02/2026
306,Garlic,71,30.32,23/06/2025
307,Ice Cream,47,70.77,26/05/2025
308,Water,268,69.63,01/10/2025
309,Chicken,33,99.18,22/06/2025
310,Pickles,102,13.05,05/12/2025
311,Olives,111,18.61,22/06/2025
312,Pasta,42,84.44,10/06/2025
313,Bell Pepper,304,59.66,25/09/2025
314,Eggs,92,53.29,01/01/2026
315,Cashews,120,92.83,09/03/2026
316,Eggs,375,70.37,08/02/2026
317,Soy Sauce,284,72.78,10/02/2026
318,Bell Pepper,241,78.17,28/02/2026
319,Turkey,435,82.26,18/02/2026
320,Fish,218,46.18,17/12/2025
321,Olives,166,84.02,23/04/2025
322,Mushrooms,445,39.19,03/06/2025
323,Pickles,362,40.29,13/12/2025
324,Pizza,269,68.93,14/06/2025
325,Ginger,130,35.33,18/03/2026
326,Salt,232,27.91,02/08/2025
327,Ketchup,478,52.45,01/01/2026
328,Eggs,199,82.71,18/09/2025
329,Chicken Wings,251,45.38,09/10/2025
330,Chicken Wings,189,42.05,14/05/2025
331,Oil,297,17.42,01/03/2026
332,Potato,418,71.05,30/11/2025
333,Papaya,270,76.26,02/02/2026
334,Lemon,498,82.58,15/01/2026
335,Chicken Wings,424,83.97,08/08/2025
336,Ice Cream,223,64.96,05/12/2025
337,Fish,390,24.72,17/01/2026
338,Yogurt,398,98.94,06/06/2025
339,Pineapple,256,86.34,30/10/2025
340,Ketchup,63,10.9,28/10/2025
341,Coffee,478,23.32,05/01/2026
342,Eggs,168,56.98,23/11/2025
343,Papaya,114,46.03,30/07/2025
344,Celery,416,38.32,13/02/2026
345,Radish,268,46.09,12/05/2025
346,Butter,161,90.09,18/01/2026
347,Orange,68,27.74,05/03/2026
348,Pasta,47,27.27,24/01/2026
349,Water,340,64.46,01/11/2025
350,Milk,157,13.84,16/10/2025
351,Coconut,371,10.84,10/03/2026
352,Soy Sauce,222,77.11,05/06/2025
353,Spaghetti Sauce,345,51.74,19/07/2025
354,Tomato,405,88.24,29/08/2025
355,Strawberry,376,40.81,15/08/2025
356,Ice Cream,334,45.96,23/06/2025
357,Zucchini,143,36.19,30/05/2025
358,Peach,256,24.43,15/09/2025
359,Chocolate,219,53.44,11/07/2025
360,Potato,73,89.04,19/07/2025
361,Strawberry,157,76.97,06/01/2026
362,Juice,174,44.57,03/12/2025
363,Grapes,84,22.72,17/09/2025
364,Tofu,419,62.05,22/06/2025
365,Mustard,261,46.31,21/03/2026
366,Soy Sauce,95,98.7,24/06/2025
367,Bread,93,61.92,31/12/2025
368,Potato,359,77.91,13/09/2025
369,Olives,436,52.36,12/03/2026
370,Banana,36,26.8,06/10/2025
371,Duck,266,34.85,04/06/2025
372,Walnuts,272,17.45,12/01/2026
373,Celery,395,14.89,03/02/2026
374,Soda,362,53.65,03/08/2025
375,Onions,491,89.07,25/10/2025
376,Lettuce,216,11.97,30/04/2025
377,Garlic,70,99.4,23/01/2026
378,Rice,162,66.84,15/08/2025
379,Rice,46,30.3,07/05/2025
380,Chicken,378,72.33,25/01/2026
381,Orange,215,56.8,13/07/2025
382,Bell Pepper,341,55.31,05/10/2025
383,Cashews,386,62.27,07/11/2025
384,Flour,145,90.32,23/10/2025
385,Almonds,335,59.07,09/01/2026
386,Onions,241,11.72,13/07/2025
387,Walnuts,430,89.36,06/11/2025
388,Soda,209,53.86,31/12/2025
389,Zucchini,316,74.09,09/09/2025
390,Beef,191,56.66,02/08/2025
391,Lamb,416,25.66,19/02/2026
392,Celery,474,46.3,01/01/2026
393,Ginger,266,94.28,23/02/2026
394,Mustard,112,82.31,22/06/2025
395,Popcorn,137,49.33,26/12/2025
396,Carrot,450,99.1,13/01/2026
397,Lemon,403,11.88,18/03/2026
398,Apple,500,84.45,30/06/2025
399,Blueberry,185,29.96,24/09/2025
400,Tofu,444,10.87,11/08/2025
